"# C05 depth-averaged current, WAMOS absolute rotation exp(-i*14.4deg) applied"
"# along principal axis 113.4/293.4 deg true; +=toward 113, -=toward 293"
start_utc,end_utc,duration_h,peak_along_cm_s,direction
2023-05-21T03:47:59,2023-05-21T09:59:59,6.20,-113.5,WEST
2023-05-22T04:12:00,2023-05-22T11:12:00,7.00,-114.6,WEST
2023-05-23T07:35:59,2023-05-23T11:23:59,3.80,-105.0,WEST
2023-05-24T01:12:00,2023-05-24T03:59:59,2.80,101.7,EAST
2023-05-24T23:48:00,2023-05-25T04:24:00,4.60,92.9,EAST
2023-05-26T21:24:00,2023-05-27T09:36:00,12.20,147.7,EAST
2023-05-28T04:47:59,2023-05-28T07:35:59,2.80,109.2,EAST
2023-05-28T12:36:00,2023-05-28T15:36:00,3.00,-117.0,WEST
2023-05-28T20:48:00,2023-05-29T06:36:00,9.80,-131.8,WEST
2023-05-29T09:59:59,2023-05-29T21:59:59,12.00,-133.9,WEST
2023-05-30T16:35:59,2023-05-30T17:35:59,1.00,107.5,EAST
2023-05-31T09:36:00,2023-05-31T12:59:59,3.40,115.1,EAST
2023-06-01T03:59:59,2023-06-01T09:11:59,5.20,-119.7,WEST
